deal_id,created_date,closed_date,sales_rep_id,industry,region,product_type,lead_source,deal_stage,deal_amount,sales_cycle_days,outcome,risk_score,risk_category
D00017,2023-01-04,2023-01-20,rep_3,SaaS,Europe,Pro,Referral,Proposal,2482,16,Lost,45.4,Medium
D00018,2023-04-20,2023-07-05,rep_14,HealthTech,North America,Core,Referral,Negotiation,6677,76,Won,51.0,Medium
D00019,2023-07-01,2023-08-31,rep_24,EdTech,North America,Core,Outbound,Negotiation,7972,61,Won,50.1,Medium
D00020,2023-04-08,2023-06-22,rep_3,Ecommerce,North America,Core,Inbound,Demo,11006,75,Won,50.5,Medium
D00021,2023-02-17,2023-05-31,rep_13,FinTech,Europe,Pro,Inbound,Demo,14658,103,Lost,53.2,Medium
D00022,2023-07-19,2023-08-28,rep_22,Ecommerce,Europe,Core,Partner,Closed,75444,40,Lost,48.9,Medium
D00023,2023-04-22,2023-05-06,rep_19,Ecommerce,Europe,Core,Inbound,Qualified,6441,14,Lost,44.2,Medium
D00024,2024-03-11,2024-04-10,rep_19,HealthTech,North America,Enterprise,Inbound,Qualified,19062,30,Won,48.1,Medium
D00025,2023-08-03,2023-11-02,rep_8,EdTech,India,Core,Partner,Proposal,6282,91,Lost,50.7,Medium
D00026,2023-08-23,2023-10-09,rep_4,FinTech,Europe,Enterprise,Partner,Closed,80068,47,Lost,44.8,Medium
D00027,2023-03-09,2023-04-29,rep_18,EdTech,North America,Enterprise,Partner,Negotiation,4001,51,Lost,56.5,Medium
D00028,2023-12-06,2023-12-26,rep_5,EdTech,APAC,Enterprise,Outbound,Closed,3100,20,Lost,46.3,Medium
D00029,2024-01-03,2024-02-22,rep_2,FinTech,India,Pro,Inbound,Proposal,12325,50,Won,46.6,Medium
D00030,2023-01-02,2023-02-20,rep_18,Ecommerce,North America,Core,Inbound,Negotiation,41178,49,Lost,50.2,Medium
D00031,2023-12-20,2024-01-15,rep_5,FinTech,APAC,Pro,Inbound,Negotiation,5024,26,Lost,45.6,Medium
D00032,2023-07-03,2023-08-05,rep_20,HealthTech,Europe,Core,Outbound,Negotiation,66357,33,Lost,42.2,Medium
D00033,2023-07-31,2023-08-10,rep_23,FinTech,India,Core,Referral,Demo,14745,10,Won,47.7,Medium
D00034,2023-04-24,2023-05-26,rep_1,HealthTech,India,Pro,Partner,Demo,5770,32,Lost,54.0,Medium
D00035,2024-03-18,2024-04-02,rep_11,FinTech,North America,Pro,Outbound,Closed,13753,15,Lost,45.3,Medium
D00036,2023-10-25,2023-12-04,rep_14,SaaS,North America,Pro,Outbound,Proposal,65309,40,Won,49.9,Medium
D00037,2023-05-11,2023-05-23,rep_12,Ecommerce,North America,Enterprise,Partner,Demo,90575,12,Lost,47.2,Medium
D00038,2023-11-16,2024-01-02,rep_22,Ecommerce,APAC,Pro,Partner,Proposal,59363,47,Lost,56.8,Medium
D00039,2023-10-11,2023-11-03,rep_10,Ecommerce,North America,Pro,Partner,Closed,42810,23,Won,52.9,Medium
D00040,2023-04-18,2023-06-19,rep_15,HealthTech,India,Enterprise,Outbound,Negotiation,18726,62,Lost,49.5,Medium
D00041,2023-12-04,2023-12-21,rep_22,EdTech,Europe,Core,Outbound,Demo,7438,17,Won,54.0,Medium
D00042,2023-01-13,2023-01-25,rep_21,SaaS,Europe,Enterprise,Referral,Negotiation,18015,12,Won,41.9,Medium
D00043,2023-09-11,2023-11-08,rep_8,HealthTech,India,Core,Outbound,Negotiation,7374,58,Won,44.9,Medium
D00044,2024-03-10,2024-04-01,rep_11,Ecommerce,India,Enterprise,Referral,Closed,89616,22,Lost,40.2,Medium
D00045,2023-03-23,2023-07-03,rep_25,SaaS,India,Enterprise,Outbound,Proposal,52406,102,Lost,49.5,Medium
D00046,2023-05-21,2023-07-23,rep_18,FinTech,Europe,Core,Outbound,Proposal,11841,63,Won,51.3,Medium
D00047,2023-07-16,2023-10-19,rep_18,Ecommerce,India,Core,Outbound,Proposal,9052,95,Won,53.9,Medium
D00048,2024-03-02,2024-05-01,rep_16,FinTech,APAC,Pro,Referral,Negotiation,22560,60,Won,47.5,Medium
D00049,2024-03-12,2024-07-03,rep_9,Ecommerce,India,Core,Referral,Demo,17883,113,Won,53.6,Medium
D00050,2023-06-22,2023-09-22,rep_20,SaaS,North America,Pro,Inbound,Demo,19864,92,Lost,53.4,Medium
D00051,2023-02-12,2023-05-12,rep_11,HealthTech,India,Pro,Partner,Negotiation,10977,89,Won,52.8,Medium
D00052,2024-01-25,2024-05-23,rep_24,SaaS,North America,Pro,Outbound,Qualified,12133,119,Won,56.3,Medium
D00053,2023-11-29,2023-12-14,rep_1,SaaS,Europe,Core,Outbound,Demo,7339,15,Lost,48.6,Medium
D00054,2023-08-31,2023-12-01,rep_20,SaaS,North America,Core,Partner,Demo,15619,92,Won,55.6,Medium
D00055,2023-02-25,2023-05-17,rep_3,SaaS,Europe,Core,Partner,Demo,17433,81,Won,53.4,Medium
D00056,2024-03-11,2024-06-13,rep_14,EdTech,North America,Enterprise,Partner,Closed,17272,94,Lost,55.6,Medium
D00057,2023-01-07,2023-05-02,rep_23,HealthTech,India,Core,Partner,Negotiation,9729,115,Won,53.7,Medium
D00058,2023-11-12,2024-03-01,rep_9,EdTech,Europe,Core,Partner,Closed,77091,110,Lost,49.8,Medium
D00059,2023-08-19,2023-09-26,rep_16,EdTech,Europe,Pro,Outbound,Qualified,17999,38,Lost,50.0,Medium
D00060,2023-07-01,2023-10-18,rep_17,HealthTech,North America,Core,Referral,Qualified,56211,109,Won,52.1,Medium
D00061,2023-09-08,2023-11-25,rep_3,EdTech,Europe,Pro,Outbound,Qualified,15800,78,Lost,51.7,Medium
D00062,2023-06-06,2023-09-05,rep_24,SaaS,APAC,Pro,Referral,Negotiation,17068,91,Lost,52.6,Medium
D00063,2023-05-19,2023-07-04,rep_24,SaaS,Europe,Core,Outbound,Qualified,19817,46,Won,49.8,Medium
D00064,2024-01-14,2024-03-22,rep_7,EdTech,Europe,Pro,Outbound,Qualified,16595,68,Won,56.0,Medium
D00065,2023-06-04,2023-06-12,rep_10,HealthTech,India,Core,Inbound,Closed,3036,8,Lost,44.6,Medium
D00066,2023-10-21,2023-12-03,rep_16,FinTech,North America,Pro,Referral,Proposal,5608,43,Lost,47.6,Medium
D00067,2023-02-07,2023-04-28,rep_3,HealthTech,North America,Enterprise,Referral,Proposal,39555,80,Lost,49.6,Medium
D00068,2023-11-07,2024-01-29,rep_10,SaaS,India,Pro,Inbound,Negotiation,16561,83,Lost,51.9,Medium
D00069,2023-11-09,2024-02-18,rep_6,HealthTech,Europe,Enterprise,Inbound,Qualified,18248,101,Won,54.2,Medium
D00070,2023-03-22,2023-03-29,rep_8,EdTech,APAC,Enterprise,Referral,Qualified,17729,7,Won,48.1,Medium
D00071,2023-02-06,2023-05-11,rep_14,FinTech,Europe,Enterprise,Outbound,Demo,97304,94,Won,48.6,Medium
D00072,2023-05-17,2023-09-06,rep_10,Ecommerce,North America,Pro,Partner,Closed,60319,112,Won,55.6,Medium
D00073,2023-12-25,2024-02-21,rep_20,FinTech,India,Enterprise,Partner,Qualified,16847,58,Lost,50.9,Medium
D00074,2023-11-06,2023-12-15,rep_25,EdTech,North America,Core,Referral,Qualified,95392,39,Won,46.3,Medium
D00075,2023-09-23,2023-12-22,rep_3,Ecommerce,APAC,Pro,Partner,Negotiation,10973,90,Won,53.6,Medium
D00076,2023-06-14,2023-09-14,rep_10,Ecommerce,North America,Pro,Inbound,Negotiation,73955,92,Won,50.8,Medium
D00077,2023-06-11,2023-07-20,rep_15,Ecommerce,North America,Core,Partner,Closed,20150,39,Won,50.7,Medium
D00078,2023-11-15,2024-02-26,rep_5,EdTech,India,Enterprise,Referral,Closed,8845,103,Lost,49.4,Medium
D00079,2023-03-04,2023-03-14,rep_1,SaaS,India,Core,Outbound,Closed,11920,10,Lost,44.1,Medium
D00080,2024-03-06,2024-03-27,rep_17,EdTech,India,Pro,Referral,Proposal,18612,21,Lost,50.0,Medium
D00081,2023-05-05,2023-07-09,rep_3,EdTech,India,Pro,Partner,Demo,98561,65,Lost,50.2,Medium
D00082,2024-02-25,2024-03-03,rep_5,Ecommerce,India,Pro,Partner,Negotiation,96011,7,Won,44.6,Medium
D00083,2023-10-10,2024-01-22,rep_19,Ecommerce,Europe,Pro,Inbound,Demo,44727,104,Lost,50.5,Medium
D00084,2023-06-12,2023-09-22,rep_5,SaaS,APAC,Core,Referral,Qualified,14325,102,Lost,52.7,Medium
D00085,2023-02-21,2023-05-06,rep_3,Ecommerce,APAC,Pro,Referral,Demo,19836,74,Lost,53.2,Medium
D00086,2023-11-29,2023-12-16,rep_18,FinTech,North America,Core,Partner,Negotiation,16742,17,Lost,52.8,Medium
D00087,2023-04-27,2023-08-07,rep_23,EdTech,North America,Core,Partner,Demo,18383,102,Won,58.7,Medium
D00088,2024-02-12,2024-02-26,rep_14,SaaS,Europe,Core,Outbound,Closed,5070,14,Won,45.1,Medium
D00089,2023-02-10,2023-05-06,rep_5,HealthTech,India,Enterprise,Partner,Closed,19192,85,Lost,51.4,Medium
D00090,2023-08-24,2023-10-02,rep_15,EdTech,APAC,Enterprise,Referral,Qualified,5811,39,Lost,52.1,Medium
D00091,2023-12-20,2024-01-28,rep_8,Ecommerce,APAC,Enterprise,Partner,Qualified,11263,39,Lost,52.1,Medium
D00092,2023-12-25,2024-02-07,rep_22,FinTech,India,Pro,Outbound,Closed,7392,44,Won,50.1,Medium
D00093,2023-11-07,2024-02-24,rep_21,FinTech,North America,Pro,Referral,Demo,52850,109,Won,48.0,Medium
D00094,2023-01-18,2023-04-09,rep_6,HealthTech,Europe,Enterprise,Partner,Negotiation,9476,81,Won,55.1,Medium
D00095,2023-09-29,2023-12-09,rep_4,Ecommerce,North America,Core,Outbound,Proposal,12210,71,Lost,50.4,Medium
D00096,2024-03-16,2024-06-17,rep_1,EdTech,North America,Pro,Partner,Negotiation,5255,93,Lost,55.3,Medium
D00097,2023-12-11,2024-03-22,rep_16,FinTech,APAC,Enterprise,Outbound,Demo,6788,102,Lost,51.9,Medium
D00098,2023-11-28,2023-12-13,rep_4,HealthTech,North America,Core,Partner,Negotiation,59608,15,Lost,47.4,Medium
D00099,2023-09-10,2023-10-01,rep_22,SaaS,India,Enterprise,Outbound,Proposal,10222,21,Won,52.4,Medium
D00100,2023-08-01,2023-10-30,rep_23,EdTech,Europe,Pro,Referral,Qualified,18086,90,Won,54.5,Medium
D00101,2023-05-01,2023-08-25,rep_2,Ecommerce,APAC,Core,Inbound,Proposal,91364,116,Won,44.9,Medium
D00102,2024-03-10,2024-06-30,rep_11,HealthTech,Europe,Enterprise,Outbound,Qualified,7429,112,Lost,52.4,Medium
D00103,2023-02-05,2023-05-29,rep_25,HealthTech,North America,Pro,Outbound,Proposal,3697,113,Lost,53.8,Medium
D00104,2023-03-08,2023-05-23,rep_12,HealthTech,APAC,Core,Outbound,Qualified,3429,76,Won,48.5,Medium
D00105,2023-05-16,2023-05-29,rep_16,Ecommerce,APAC,Enterprise,Inbound,Qualified,34896,13,Won,47.2,Medium
D00106,2023-08-20,2023-10-30,rep_21,FinTech,North America,Pro,Referral,Negotiation,8710,71,Won,44.8,Medium
D00107,2023-08-07,2023-11-09,rep_20,HealthTech,North America,Core,Partner,Proposal,7835,94,Won,53.4,Medium
D00108,2023-11-16,2024-02-12,rep_10,Ecommerce,India,Core,Inbound,Closed,69925,88,Lost,45.3,Medium
D00109,2024-03-12,2024-06-10,rep_8,Ecommerce,APAC,Pro,Referral,Negotiation,19810,90,Lost,49.8,Medium
D00110,2023-08-01,2023-11-09,rep_22,Ecommerce,North America,Core,Inbound,Demo,13120,100,Won,57.8,Medium
D00111,2023-02-17,2023-04-20,rep_18,SaaS,APAC,Enterprise,Inbound,Closed,5052,62,Won,51.3,Medium
D00112,2023-07-30,2023-09-20,rep_10,EdTech,North America,Enterprise,Outbound,Closed,19813,52,Lost,52.1,Medium
D00113,2023-03-21,2023-06-20,rep_25,EdTech,Europe,Pro,Inbound,Qualified,13736,91,Lost,52.8,Medium
D00114,2023-11-08,2024-02-07,rep_11,EdTech,North America,Core,Outbound,Proposal,8474,91,Lost,51.1,Medium
D00115,2023-10-17,2024-01-16,rep_7,Ecommerce,India,Pro,Partner,Closed,3162,91,Won,54.6,Medium
D00116,2023-03-22,2023-05-15,rep_5,HealthTech,North America,Enterprise,Inbound,Qualified,4657,54,Won,50.5,Medium
D00117,2023-05-20,2023-07-22,rep_7,SaaS,North America,Pro,Referral,Proposal,17946,63,Lost,55.5,Medium
D00118,2023-02-26,2023-04-10,rep_2,HealthTech,India,Enterprise,Inbound,Proposal,89066,43,Lost,41.8,Medium
D00119,2023-01-04,2023-02-06,rep_4,FinTech,India,Enterprise,Referral,Proposal,10248,33,Won,46.5,Medium
D00120,2023-03-31,2023-04-23,rep_3,Ecommerce,North America,Pro,Inbound,Proposal,85570,23,Won,43.8,Medium
D00121,2023-08-24,2023-09-09,rep_10,FinTech,India,Core,Partner,Negotiation,15033,16,Lost,49.6,Medium
D00122,2023-03-29,2023-07-16,rep_4,HealthTech,India,Enterprise,Referral,Negotiation,5769,109,Lost,50.1,Medium
D00123,2023-09-26,2023-10-13,rep_3,SaaS,North America,Enterprise,Outbound,Demo,13562,17,Won,50.1,Medium
D00124,2024-02-02,2024-03-24,rep_9,HealthTech,Europe,Enterprise,Outbound,Demo,7287,51,Won,52.4,Medium
D00125,2024-01-25,2024-05-08,rep_25,SaaS,India,Enterprise,Partner,Closed,18288,104,Lost,52.4,Medium
D00126,2024-03-18,2024-06-13,rep_9,SaaS,North America,Pro,Inbound,Proposal,9118,87,Won,52.8,Medium
D00127,2023-06-08,2023-08-13,rep_20,SaaS,India,Pro,Inbound,Qualified,2466,66,Lost,47.7,Medium
D00128,2023-08-19,2023-12-07,rep_5,FinTech,India,Core,Partner,Closed,13267,110,Lost,49.7,Medium
D00129,2024-01-01,2024-01-18,rep_15,SaaS,Europe,Pro,Partner,Negotiation,52472,17,Lost,49.7,Medium
D00130,2023-05-25,2023-07-20,rep_3,EdTech,North America,Enterprise,Referral,Proposal,4771,56,Won,49.5,Medium
D00131,2023-05-26,2023-07-04,rep_19,HealthTech,APAC,Pro,Referral,Qualified,17874,39,Lost,50.2,Medium
D00132,2023-03-08,2023-05-30,rep_5,SaaS,North America,Enterprise,Referral,Proposal,13072,83,Lost,52.1,Medium
D00133,2023-09-18,2023-11-10,rep_7,HealthTech,Europe,Core,Inbound,Negotiation,10953,53,Won,49.8,Medium
D00134,2023-06-01,2023-09-24,rep_25,SaaS,Europe,Enterprise,Referral,Proposal,6158,115,Lost,51.9,Medium
D00135,2023-03-20,2023-04-16,rep_2,Ecommerce,APAC,Enterprise,Outbound,Negotiation,41697,27,Won,47.0,Medium
D00136,2023-08-16,2023-11-09,rep_16,HealthTech,APAC,Enterprise,Referral,Proposal,5677,85,Won,50.5,Medium
D00137,2023-08-25,2023-12-08,rep_7,SaaS,Europe,Pro,Inbound,Demo,16239,105,Won,57.0,Medium
D00138,2023-11-25,2024-02-01,rep_3,HealthTech,APAC,Pro,Outbound,Proposal,6542,68,Lost,50.5,Medium
D00139,2024-03-01,2024-05-02,rep_2,Ecommerce,APAC,Core,Referral,Negotiation,3818,62,Won,47.4,Medium
D00140,2023-02-11,2023-04-06,rep_2,EdTech,India,Enterprise,Outbound,Demo,4610,54,Won,50.8,Medium
D00141,2024-01-24,2024-04-30,rep_7,HealthTech,India,Core,Partner,Proposal,7040,97,Lost,56.3,Medium
D00142,2023-05-02,2023-06-16,rep_16,SaaS,North America,Enterprise,Outbound,Qualified,3953,45,Won,49.4,Medium
D00143,2024-01-03,2024-01-28,rep_14,HealthTech,North America,Enterprise,Partner,Closed,2012,25,Won,50.4,Medium
D00144,2023-02-04,2023-04-19,rep_2,Ecommerce,APAC,Pro,Inbound,Negotiation,17079,74,Lost,49.9,Medium
D00145,2023-07-02,2023-10-17,rep_5,FinTech,APAC,Enterprise,Partner,Proposal,33587,107,Won,54.0,Medium
D00146,2024-02-21,2024-05-20,rep_5,FinTech,India,Core,Partner,Demo,82722,89,Won,49.3,Medium
D00147,2023-04-14,2023-04-26,rep_18,Ecommerce,APAC,Core,Outbound,Negotiation,60642,12,Lost,47.7,Medium
D00148,2023-05-27,2023-07-18,rep_12,Ecommerce,India,Enterprise,Referral,Qualified,18743,52,Lost,48.0,Medium
D00149,2023-07-17,2023-09-05,rep_9,FinTech,India,Core,Referral,Closed,19338,50,Lost,45.1,Medium
D00150,2023-11-05,2024-02-25,rep_22,EdTech,APAC,Pro,Referral,Proposal,4406,112,Won,58.4,Medium
D00151,2023-03-27,2023-06-30,rep_9,FinTech,North America,Enterprise,Referral,Negotiation,66210,95,Won,48.6,Medium
D00152,2023-07-06,2023-09-16,rep_22,Ecommerce,North America,Core,Inbound,Closed,7565,72,Lost,51.9,Medium
D00153,2023-05-01,2023-08-15,rep_5,Ecommerce,APAC,Pro,Referral,Closed,4966,106,Lost,50.7,Medium
D00154,2024-01-26,2024-02-11,rep_8,FinTech,North America,Enterprise,Outbound,Proposal,14012,16,Lost,45.7,Medium
D00155,2023-09-13,2023-11-25,rep_7,SaaS,APAC,Enterprise,Referral,Negotiation,9929,73,Won,53.7,Medium
D00156,2023-04-13,2023-05-05,rep_3,EdTech,APAC,Enterprise,Inbound,Negotiation,42630,22,Won,45.3,Medium
D00157,2023-10-09,2023-12-24,rep_8,FinTech,Europe,Core,Outbound,Closed,10580,76,Won,43.4,Medium
D00158,2024-02-09,2024-04-19,rep_5,SaaS,North America,Core,Partner,Closed,17376,70,Won,51.3,Medium
D00159,2023-07-23,2023-10-29,rep_5,EdTech,North America,Pro,Referral,Qualified,73665,98,Lost,52.4,Medium
D00160,2023-12-15,2024-02-26,rep_14,SaaS,North America,Core,Outbound,Demo,6516,73,Won,53.9,Medium
D00161,2023-06-05,2023-07-03,rep_3,EdTech,Europe,Enterprise,Partner,Proposal,65353,28,Won,47.7,Medium
D00162,2023-03-06,2023-06-01,rep_19,SaaS,Europe,Core,Partner,Demo,85873,87,Won,49.0,Medium
D00163,2024-03-07,2024-05-25,rep_9,HealthTech,India,Enterprise,Inbound,Closed,25958,79,Won,47.8,Medium
D00164,2023-09-12,2024-01-10,rep_22,Ecommerce,APAC,Pro,Inbound,Demo,18517,120,Lost,60.3,Medium
D00165,2023-12-19,2024-01-02,rep_20,HealthTech,APAC,Enterprise,Partner,Proposal,5404,14,Won,50.5,Medium
D00166,2024-01-11,2024-05-07,rep_4,EdTech,Europe,Pro,Inbound,Closed,68567,117,Won,47.8,Medium
D00167,2023-05-17,2023-07-20,rep_14,HealthTech,Europe,Pro,Partner,Closed,8829,64,Won,53.0,Medium
D00168,2023-04-08,2023-07-21,rep_1,FinTech,India,Enterprise,Referral,Negotiation,15648,104,Won,49.0,Medium
D00169,2023-05-04,2023-06-07,rep_21,Ecommerce,APAC,Enterprise,Inbound,Closed,8828,34,Lost,42.0,Medium
D00170,2024-03-09,2024-03-29,rep_2,Ecommerce,North America,Enterprise,Outbound,Proposal,19919,20,Won,49.1,Medium
D00171,2023-07-05,2023-09-20,rep_20,SaaS,North America,Core,Inbound,Proposal,79028,77,Won,45.2,Medium
D00172,2023-07-21,2023-09-13,rep_20,SaaS,India,Enterprise,Inbound,Demo,4777,54,Lost,48.5,Medium
D00173,2023-01-24,2023-02-04,rep_20,SaaS,Europe,Pro,Partner,Demo,15761,11,Won,52.3,Medium
D00174,2023-03-25,2023-05-21,rep_18,Ecommerce,APAC,Pro,Inbound,Closed,64089,57,Lost,50.0,Medium
D00175,2023-07-08,2023-08-26,rep_20,Ecommerce,APAC,Enterprise,Outbound,Qualified,60327,49,Lost,48.1,Medium
D00176,2024-01-05,2024-01-18,rep_2,SaaS,North America,Core,Inbound,Demo,3396,13,Lost,47.6,Medium
D00177,2023-08-14,2023-09-30,rep_25,SaaS,India,Enterprise,Inbound,Closed,19313,47,Won,45.8,Medium
D00178,2023-12-28,2024-01-21,rep_11,HealthTech,India,Enterprise,Partner,Negotiation,82701,24,Lost,44.1,Medium
D00179,2023-10-07,2023-11-28,rep_7,HealthTech,APAC,Enterprise,Partner,Negotiation,54650,52,Lost,53.6,Medium
D00180,2023-04-26,2023-06-10,rep_12,SaaS,APAC,Pro,Inbound,Negotiation,11396,45,Lost,46.5,Medium
D00181,2023-10-21,2024-01-22,rep_10,FinTech,APAC,Pro,Partner,Qualified,13654,93,Lost,58.3,Medium
D00182,2024-01-18,2024-03-26,rep_5,FinTech,Europe,Core,Inbound,Proposal,93664,68,Won,41.7,Medium
D00183,2023-12-09,2024-02-21,rep_23,Ecommerce,North America,Enterprise,Outbound,Proposal,8860,74,Won,52.8,Medium
D00184,2023-01-03,2023-03-21,rep_25,EdTech,APAC,Pro,Inbound,Demo,14666,77,Lost,54.5,Medium
D00185,2024-01-29,2024-02-16,rep_6,FinTech,India,Pro,Outbound,Negotiation,3902,18,Lost,47.0,Medium
D00186,2024-01-19,2024-05-16,rep_4,EdTech,APAC,Pro,Referral,Closed,59110,118,Lost,50.7,Medium
D00187,2023-03-10,2023-07-03,rep_24,Ecommerce,APAC,Enterprise,Outbound,Demo,11159,115,Lost,56.4,Medium
D00188,2023-01-08,2023-04-19,rep_21,Ecommerce,India,Enterprise,Partner,Closed,4416,101,Won,46.8,Medium
D00189,2023-02-14,2023-04-13,rep_1,EdTech,India,Core,Referral,Demo,10303,58,Lost,51.1,Medium
D00190,2024-01-21,2024-03-02,rep_21,EdTech,Europe,Core,Inbound,Proposal,4473,41,Lost,42.0,Medium
D00191,2023-08-27,2023-10-12,rep_21,EdTech,APAC,Enterprise,Outbound,Qualified,60760,46,Won,45.0,Medium
D00192,2023-04-23,2023-05-17,rep_16,SaaS,Europe,Core,Inbound,Closed,17924,24,Lost,42.7,Medium
D00193,2023-09-27,2023-11-30,rep_18,SaaS,Europe,Enterprise,Outbound,Qualified,4963,64,Lost,54.4,Medium
D00194,2023-03-26,2023-05-13,rep_16,FinTech,India,Core,Referral,Closed,46922,48,Lost,41.6,Medium
D00195,2023-03-09,2023-05-20,rep_24,FinTech,India,Pro,Inbound,Proposal,8945,72,Won,48.5,Medium
D00196,2024-01-17,2024-02-20,rep_18,FinTech,North America,Pro,Inbound,Qualified,65158,34,Lost,50.4,Medium
D00197,2023-05-27,2023-07-25,rep_15,Ecommerce,India,Core,Outbound,Negotiation,18510,59,Won,48.0,Medium
D00198,2023-12-01,2024-03-27,rep_24,HealthTech,North America,Core,Partner,Demo,71518,117,Won,55.1,Medium
D00199,2023-08-26,2023-11-27,rep_15,EdTech,Europe,Pro,Outbound,Demo,5474,93,Lost,55.0,Medium
D00200,2024-03-24,2024-07-01,rep_8,HealthTech,North America,Core,Inbound,Qualified,74950,99,Lost,46.0,Medium
D00201,2023-08-17,2023-11-08,rep_8,SaaS,Europe,Core,Outbound,Negotiation,12009,83,Lost,46.4,Medium
D00202,2023-09-15,2023-10-29,rep_25,EdTech,Europe,Pro,Outbound,Closed,61799,44,Won,46.4,Medium
D00203,2023-12-05,2024-02-16,rep_24,HealthTech,India,Enterprise,Referral,Closed,27989,73,Won,48.2,Medium
D00204,2023-01-25,2023-03-17,rep_14,HealthTech,APAC,Pro,Outbound,Negotiation,14244,51,Lost,52.0,Medium
D00205,2024-01-22,2024-04-06,rep_18,Ecommerce,India,Enterprise,Outbound,Qualified,12927,75,Lost,55.5,Medium
D00206,2023-07-18,2023-08-25,rep_3,SaaS,Europe,Core,Partner,Proposal,18595,38,Won,49.3,Medium
D00207,2023-07-13,2023-10-14,rep_7,Ecommerce,Europe,Pro,Partner,Closed,44662,93,Lost,55.0,Medium
D00208,2023-01-08,2023-02-11,rep_23,HealthTech,India,Core,Partner,Closed,51797,34,Lost,47.1,Medium
D00209,2024-02-02,2024-03-16,rep_12,SaaS,India,Pro,Inbound,Proposal,18628,43,Won,46.0,Medium
D00210,2024-02-16,2024-05-25,rep_2,SaaS,Europe,Enterprise,Outbound,Negotiation,11328,99,Lost,49.8,Medium
D00211,2023-01-09,2023-02-18,rep_7,EdTech,Europe,Pro,Outbound,Demo,17488,40,Lost,55.9,Medium
D00212,2023-09-13,2023-11-29,rep_15,HealthTech,APAC,Core,Outbound,Negotiation,13530,77,Lost,50.7,Medium
D00213,2024-01-04,2024-03-20,rep_3,FinTech,North America,Pro,Outbound,Qualified,27698,76,Lost,50.4,Medium
D00214,2024-03-07,2024-06-02,rep_15,EdTech,North America,Enterprise,Referral,Closed,7793,87,Won,51.5,Medium
D00215,2023-12-04,2024-02-11,rep_17,EdTech,APAC,Core,Referral,Qualified,6359,69,Won,52.4,Medium
D00216,2024-02-17,2024-03-17,rep_20,SaaS,APAC,Pro,Partner,Demo,2789,29,Won,52.9,Medium
D00217,2024-02-12,2024-04-09,rep_10,FinTech,North America,Core,Referral,Demo,5326,57,Won,52.7,Medium
D00218,2023-07-14,2023-09-07,rep_3,Ecommerce,India,Enterprise,Partner,Demo,21238,55,Lost,53.1,Medium
D00219,2023-10-17,2024-02-10,rep_16,EdTech,North America,Core,Partner,Closed,6326,116,Lost,52.3,Medium
D00220,2023-10-06,2023-12-24,rep_5,Ecommerce,North America,Pro,Outbound,Closed,3469,79,Lost,49.4,Medium
D00221,2023-10-16,2023-11-22,rep_25,HealthTech,North America,Enterprise,Partner,Negotiation,19092,37,Lost,52.5,Medium
D00222,2023-01-28,2023-02-16,rep_13,EdTech,North America,Enterprise,Partner,Closed,99320,19,Won,46.5,Medium
D00223,2024-02-06,2024-04-10,rep_22,SaaS,India,Core,Partner,Demo,17060,64,Lost,58.5,Medium
